epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.29,2.48374,3.49827,2.52866,0.00338,0.78333,0.0032,0.00051,3.57863,45.6589,5.60417,0.0703333,0.0032963,0.0032963
2,274.285,2.47554,3.31765,2.41872,0,0,0,0,5.25127,4.81492,17.4641,0.0401146,0.00641085,0.00641085
3,410.572,2.4476,3.23551,2.37343,0,0,0,0,4.05543,8.01868,29.678,0.00967578,0.00930541,0.00930541
4,551.94,2.44242,3.03468,2.35564,0,0,0,0,5.15283,1770.56,11.3669,0.00901,0.00901,0.00901
5,692.779,2.40857,3.07129,2.33508,0.00059,0.16111,0.00034,3e-05,4.11453,117.586,6.14289,0.00868,0.00868,0.00868
6,834.617,2.29722,2.80731,2.24473,0.08429,0.61111,0.05783,0.02128,2.80459,250.254,3.03679,0.00835,0.00835,0.00835
7,963.255,2.02362,2.7056,2.11148,0.04384,0.66667,0.16537,0.05112,2.64487,61.7954,2.80897,0.00802,0.00802,0.00802
8,1074.32,2.00116,2.55264,2.05648,0.05954,0.24444,0.08092,0.02215,2.46106,2.88465,2.86003,0.00769,0.00769,0.00769
9,1194.2,1.88299,2.44383,1.9687,0.28753,0.57222,0.26159,0.12199,1.87298,3.98684,2.14332,0.00736,0.00736,0.00736
10,1308.06,1.90525,2.43763,1.96834,0.43951,0.61111,0.42331,0.26527,1.57744,5.57998,1.60931,0.00703,0.00703,0.00703
11,1421.12,1.81187,2.39531,1.90569,0.05664,0.66667,0.16393,0.05599,1.83281,28.5336,2.80594,0.0067,0.0067,0.0067
12,1532.62,1.75598,2.30414,1.8821,0.35409,0.5,0.278,0.1079,2.09702,4.51849,3.02431,0.00637,0.00637,0.00637
13,1645.71,1.81518,2.3273,1.96244,0.20283,0.57778,0.16049,0.04589,1.54782,9.89992,2.31218,0.00604,0.00604,0.00604
14,1767.97,1.77416,2.21951,1.89562,0.41817,0.53333,0.3969,0.11298,1.53963,4.68149,1.94035,0.00571,0.00571,0.00571
15,1929.97,1.70243,2.2434,1.84118,0.46653,0.54444,0.3644,0.26085,1.40883,2.22668,1.44333,0.00538,0.00538,0.00538
16,2040.89,1.69667,2.05804,1.83306,0.52798,0.61111,0.56466,0.30948,1.31075,5.14122,1.40762,0.00505,0.00505,0.00505
17,2152.46,1.71085,2.16805,1.86395,0.61892,0.58333,0.54937,0.28225,1.349,3.76562,1.47057,0.00472,0.00472,0.00472
18,2265.02,1.57443,1.95699,1.74653,0.86076,0.56667,0.65034,0.45791,1.30832,2.93235,1.53996,0.00439,0.00439,0.00439
19,2376.44,1.45505,1.92687,1.66974,0.99072,0.59322,0.75246,0.52407,1.20705,1.80714,1.40875,0.00406,0.00406,0.00406
20,2488.66,1.49972,1.95315,1.64467,0.94069,0.63333,0.81716,0.57781,1.25497,2.46327,1.33584,0.00373,0.00373,0.00373
21,2598.65,1.36162,1.97321,1.58908,0.79532,0.7124,0.83236,0.47868,1.28641,2.6889,1.3568,0.0034,0.0034,0.0034
22,2711.06,1.31663,1.69271,1.50204,0.71062,0.62778,0.74018,0.46136,1.30935,2.22371,1.37246,0.00307,0.00307,0.00307
23,2821.09,1.28414,1.61689,1.50034,0.83335,0.57778,0.6601,0.44265,1.24685,1.81841,1.4123,0.00274,0.00274,0.00274
24,2930.74,1.22072,1.5389,1.44703,0.89101,0.58889,0.76295,0.47811,1.26526,1.74257,1.4099,0.00241,0.00241,0.00241
25,3040.35,1.19968,1.46671,1.45114,0.26094,0.64535,0.28844,0.13252,1.38778,2.50174,1.45314,0.00208,0.00208,0.00208
26,3150.14,1.16605,1.40766,1.40536,0.78536,0.62778,0.66924,0.45456,1.12666,1.97485,1.38938,0.00175,0.00175,0.00175
27,3259.25,1.1545,1.36865,1.42327,0.6368,0.77222,0.67329,0.42733,1.23013,1.58854,1.37564,0.00142,0.00142,0.00142
